ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
49620,node,0,217,29,87766,2,4104,0,2210
49630,node,1,216,66,87729,4,4102,0,2210
49640,node,1,216,132,87663,8,4098,5,2205
49650,node,2,215,1038,86757,59,4047,28,2182
49660,node,3,214,1833,85962,78,4028,45,2165
49670,node,6,211,4894,82901,243,3863,121,2089
49680,node,10,207,2341,85454,117,3989,58,2152
49700,node,6,211,3561,84234,182,3924,73,2137
49720,node,0,217,4,87791,0,4106,0,2210
49730,node,0,217,51,87744,1,4105,1,2209
49740,node,0,217,3,87792,0,4106,0,2210
49750,node,0,217,4,87791,0,4106,0,2210
49760,node,1,216,35,87760,1,4105,1,2209
49770,node,0,217,59,87736,3,4103,3,2207
49780,node,0,217,8,87787,0,4106,0,2210
49790,node,5,212,1537,86258,70,4036,52,2158
49800,node,0,217,745,87050,36,4070,30,2180
49810,node,0,217,222,87573,15,4091,5,2205
49830,node,1,216,157,87638,8,4098,8,2202
49840,node,1,216,65,87730,1,4105,2,2208
49850,node,0,217,20,87775,0,4106,1,2209
49860,node,1,216,78,87717,3,4103,2,2208
49870,node,0,217,138,87657,1,4105,3,2207
49880,node,4,213,393,87402,19,4087,10,2200
49890,node,0,217,31,87764,4,4102,1,2209
49900,node,0,217,132,87663,8,4098,3,2207
49920,node,0,217,4,87791,0,4106,0,2210
49930,node,0,217,22,87773,0,4106,0,2210
49940,node,0,217,3,87792,0,4106,1,2209
49960,node,0,217,50,87745,6,4100,2,2208
49970,node,0,217,6,87789,3,4103,0,2210
49990,node,0,217,8,87787,1,4105,0,2210
50010,node,0,217,443,87352,23,4083,5,2205
50020,node,0,217,77,87718,5,4101,4,2206
50030,node,0,217,5,87790,0,4106,0,2210
50040,node,10,207,4141,83654,192,3914,114,2096
50060,node,0,217,1,87794,0,4106,0,2210
